date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:01	199/199	---M--	403	error ('Forbidden')	text/html	date:Fri,%2022%20Nov%202024%2011:33:00%20GMT	https://en.yachiyo-ind.co.jp/robots.txt		(from )
18:33:01	78265/78265	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202024%2011:33:01%20GMT	https://en.yachiyo-ind.co.jp/	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/index.html	(from )
18:33:01	61929/61929	---M-Z	200	added ('OK')	text/css	etag:%22f1e9-61429a3778e40-gzip%22	https://en.yachiyo-ind.co.jp/assets/css/common.css?23ja	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/css/common2327.css	(from https://en.yachiyo-ind.co.jp/)
18:33:02	11748/11748	---M-Z	200	added ('OK')	text/css	etag:%222de4-60761840e0f40-gzip%22	https://en.yachiyo-ind.co.jp/assets/css/responsive.css?23ja	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/css/responsive2327.css	(from https://en.yachiyo-ind.co.jp/)
18:33:03	34734/34734	---M-Z	200	added ('OK')	text/css	etag:%2287ae-59c4014d69340-gzip%22	https://en.yachiyo-ind.co.jp/assets/webfonts/fontawesome-all.min.css?23ja	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/webfonts/fontawesome-all.min2327.css	(from https://en.yachiyo-ind.co.jp/)
18:33:04	1731/1731	---M--	200	added ('OK')	image/png	etag:%226c3-59c40144d3f00%22	https://en.yachiyo-ind.co.jp/assets/img/favicon-32x32.png	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/img/favicon-32x32.png	(from https://en.yachiyo-ind.co.jp/)
18:33:05	1193/1193	---M--	200	added ('OK')	image/png	etag:%224a9-59c40144d3f00%22	https://en.yachiyo-ind.co.jp/assets/img/favicon-16x16.png	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/img/favicon-16x16.png	(from https://en.yachiyo-ind.co.jp/)
18:33:06	5016/5016	---M--	200	added ('OK')	image/png	etag:%221398-59c40144d3f00%22	https://en.yachiyo-ind.co.jp/assets/img/favicon-96x96.png	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/img/favicon-96x96.png	(from https://en.yachiyo-ind.co.jp/)
18:33:07	5614/5614	---M-Z	200	added ('OK')	text/css	etag:%2215ee-6142ddef8fa05-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/modules/popup/css/frontend.popup.css	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/modules/popup/css/frontend.popup.css	(from https://en.yachiyo-ind.co.jp/)
18:33:08	55522/55522	---M-Z	200	added ('OK')	text/css	etag:%22d8e2-6142ddef84e24-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/css/animate.min.css	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/css/animate.min.css	(from https://en.yachiyo-ind.co.jp/)
18:33:09	112427/112427	---M-Z	200	added ('OK')	text/css	etag:%221b72b-6238166b36091-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-includes/css/dist/block-library/style.min.css	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-includes/css/dist/block-library/style.min.css	(from https://en.yachiyo-ind.co.jp/)
18:33:10	374/374	---M-Z	200	added ('OK')	text/css	etag:%22176-5ff6cf133e895-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/wp-pagenavi/pagenavi-css.css	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/wp-pagenavi/pagenavi-css.css	(from https://en.yachiyo-ind.co.jp/)
18:33:11	22083/22083	---M-Z	200	added ('OK')	text/css	etag:%225643-61322fba3d4c2-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min.css?ver=78442573	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min9cff.css	(from https://en.yachiyo-ind.co.jp/)
18:33:12	13588/13588	---M-Z	200	added ('OK')	application/javascript	etag:%223514-6142ddef88ca5-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/js/common.min.js	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/js/common.min.js	(from https://en.yachiyo-ind.co.jp/)
18:33:13	7110/7110	---M-Z	200	added ('OK')	application/javascript	etag:%221bc6-6142ddef88ca5-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/js/core.min.js	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/js/core.min.js	(from https://en.yachiyo-ind.co.jp/)
18:33:14	69168/69168	---M-Z	200	added ('OK')	application/javascript	etag:%2210e30-6142ddef8fa05-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/modules/popup/js/frontend.popup.js	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/popup-by-supsystic/modules/popup/js/frontend.popup.js	(from https://en.yachiyo-ind.co.jp/)
18:33:16	8071/8071	---MC-	200	added ('OK')	application/json	date:Fri,%2022%20Nov%202024%2011:33:15%20GMT	https://en.yachiyo-ind.co.jp/wp-json/wp/v2/pages/8424	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp-json/wp/v2/pages/8424.json	(from https://en.yachiyo-ind.co.jp/)
18:33:17	2207/2207	---MC-	200	added ('OK')	application/json	date:Fri,%2022%20Nov%202024%2011:33:16%20GMT	https://en.yachiyo-ind.co.jp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fen.yachiyo-ind.co.jp%2F	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp-json/oembed/1.0/embed7c71.json	(from https://en.yachiyo-ind.co.jp/)
18:33:17	213933/213933	---MC-	200	added ('OK')	application/json	date:Fri,%2022%20Nov%202024%2011:33:16%20GMT	https://en.yachiyo-ind.co.jp/wp-json/	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp-json/index.html	(from https://en.yachiyo-ind.co.jp/)
18:33:17	2368/2368	---M-Z	200	added ('OK')	text/xml	date:Fri,%2022%20Nov%202024%2011:33:17%20GMT	https://en.yachiyo-ind.co.jp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fen.yachiyo-ind.co.jp%2F&format=xml	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp-json/oembed/1.0/embed87d6	(from https://en.yachiyo-ind.co.jp/)
18:33:18	5555/5555	---M-Z	200	added ('OK')	application/javascript	etag:%2215b3-59c40148a4800-gzip%22	https://en.yachiyo-ind.co.jp/assets/js/jquery.easing.min.js	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/js/jquery.easing.min.js	(from https://en.yachiyo-ind.co.jp/)
18:33:19	15644/15644	---M-Z	200	added ('OK')	application/javascript	etag:%223d1c-59c40148a4800-gzip%22	https://en.yachiyo-ind.co.jp/assets/js/jquery.smoothScroll.js	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/js/jquery.smoothScroll.js	(from https://en.yachiyo-ind.co.jp/)
18:33:20	1129/1129	---M-Z	200	added ('OK')	application/javascript	etag:%22469-59c40148a4800-gzip%22	https://en.yachiyo-ind.co.jp/assets/js/jquery.import.js	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/js/jquery.import.js	(from https://en.yachiyo-ind.co.jp/)
18:33:21	1608/1608	---M-Z	200	added ('OK')	application/javascript	etag:%22648-59c40148a4800-gzip%22	https://en.yachiyo-ind.co.jp/assets/js/jquery.import.top.js	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/assets/js/jquery.import.top.js	(from https://en.yachiyo-ind.co.jp/)
18:33:22	41403/41403	---M-Z	200	added ('OK')	application/javascript	etag:%22a1bb-61322fba3d4c2-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=78442573	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min9cff.js	(from https://en.yachiyo-ind.co.jp/)
18:33:23	113916/113916	---M-Z	200	added ('OK')	application/javascript	etag:%221bcfc-61322fba3d4c2-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min.js?ver=78442573	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min9cff.js	(from https://en.yachiyo-ind.co.jp/)
18:33:24	13426/13426	---M-Z	200	added ('OK')	application/javascript	etag:%223472-61322fba3d4c2-gzip%22	https://en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min.js?ver=78442573	~/Downloads/yachiyo-website/en.yachiyo-ind.co.jp/wp/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min9cff.js	(from https://en.yachiyo-ind.co.jp/)
